gene,variable,pval,FDR,ensembl_gene_id,CHR,start,end,entrezgene_id
KIAA1683,conditionTB,0,0,ENSG00000130518,19,18257097,18274509,80726
KIAA1715,conditionTB,1.20E-11,3.62E-11,ENSG00000144320,2,175923882,176002839,80856
KIAA1841,conditionTB,0,0,ENSG00000162929,2,61065871,61138034,84542
KIAA1919,conditionTB,7.60E-09,1.94E-08,ENSG00000173214,6,111259327,111445354,91749
KIAA1958,conditionTB,5.10E-04,8.79E-04,ENSG00000165185,9,112486827,112669397,158405
KIAA2013,conditionTB,0,0,ENSG00000116685,1,11919591,11926428,90231
KIAA2022,conditionTB,0.022,0.031209666,ENSG00000050030,X,74732856,74925472,340533
KIAA2026,conditionTB,1.20E-08,3.01E-08,ENSG00000183354,9,5881596,6008482,158358
KIDINS220,conditionTB,1.20E-05,2.40E-05,ENSG00000134313,2,8721081,8837630,57498
KIF11,conditionTB,0.48,0.529995258,ENSG00000138160,10,92574105,92655395,3832
KIF13A,conditionTB,0,0,ENSG00000137177,6,17759183,17987635,63971
KIF13B,conditionTB,1.50E-13,5.05E-13,ENSG00000197892,8,29067278,29263124,23303
KIF14,conditionTB,0.54,0.588157156,ENSG00000118193,1,200551497,200620751,9928
KIF15,conditionTB,0.33,0.378582806,ENSG00000163808,3,44761721,44873376,56992
KIF16B,conditionTB,0,0,ENSG00000089177,20,16272104,16573448,55614
KIF17,conditionTB,0.66,0.70120295,ENSG00000117245,1,20664014,20718017,57576
KIF18A,conditionTB,1,1,ENSG00000121621,11,28020619,28108156,81930
KIF19,conditionTB,2.40E-06,5.10E-06,ENSG00000196169,17,74326210,74355820,124602
KIF1B,conditionTB,0,0,ENSG00000054523,1,10210570,10381603,23095
KIF1BP,conditionTB,0,0,ENSG00000198954,10,68988803,69043544,26128
KIF1C,conditionTB,0,0,ENSG00000129250,17,4997950,5028401,10749
KIF20A,conditionTB,0.18,0.218540146,ENSG00000112984,5,138178719,138187723,10112
KIF20B,conditionTB,0.0012,0.001982781,ENSG00000138182,10,89701590,89774939,9585
KIF21A,conditionTB,0,0,ENSG00000139116,12,39293228,39443390,55605
KIF21B,conditionTB,0.16,0.19639111,ENSG00000116852,1,200969390,201023714,23046
KIF22,conditionTB,0.74,0.774303902,ENSG00000079616,16,29790719,29805384,3835
KIF23,conditionTB,0.86,0.880093752,ENSG00000137807,15,69414246,69448427,9493
KIF24,conditionTB,0.17,0.207408313,ENSG00000186638,9,34252380,34329268,347240
KIF26B,conditionTB,0.046,0.062133797,ENSG00000162849,1,245154985,245709432,55083
KIF27,conditionTB,0.1,0.127018182,ENSG00000165115,9,83834099,83921465,55582
KIF2A,conditionTB,0.015,0.021781334,ENSG00000068796,5,62306162,62391025,3796
KIF2C,conditionTB,0.016,0.023134844,ENSG00000142945,1,44739818,44767767,11004
KIF3A,conditionTB,3.30E-07,7.51E-07,ENSG00000131437,5,132692628,132737638,11127
KIF3B,conditionTB,7.00E-05,1.31E-04,ENSG00000101350,20,32277651,32335011,9371
KIF3C,conditionTB,0.019,0.027191232,ENSG00000084731,2,25926598,25982749,3797
KIF4A,conditionTB,0.057,0.075761416,ENSG00000090889,X,70290104,70420886,24137
KIF5A,conditionTB,0.021,0.029879022,ENSG00000155980,12,57546026,57586633,3798
KIF5B,conditionTB,5.90E-15,2.13E-14,ENSG00000170759,10,32009015,32056425,3799
KIF5C,conditionTB,1.20E-08,3.01E-08,ENSG00000168280,2,148875227,149026759,3800
KIF7,conditionTB,7.20E-06,1.47E-05,ENSG00000166813,15,89608789,89655467,374654
KIF9,conditionTB,0.032,0.044373164,ENSG00000088727,3,47227998,47283451,64147
KIFAP3,conditionTB,2.50E-07,5.74E-07,ENSG00000075945,1,169921326,170085208,22920
KIFC1,conditionTB,0.03,0.041753163,ENSG00000237649,6,33391823,33409896,3833
KIFC2,conditionTB,6.80E-09,1.74E-08,ENSG00000167702,8,144466043,144474202,90990
KIFC3,conditionTB,0.1,0.127018182,ENSG00000140859,16,57758217,57863053,3801
KIN,conditionTB,0.03,0.041753163,ENSG00000151657,10,7750962,7787993,22944
KIR3DL1,conditionTB,4.00E-09,1.04E-08,ENSG00000167633,19,54816468,54830778,3811
KIT,conditionTB,7.90E-11,2.28E-10,ENSG00000157404,4,54657918,54740715,3815
KITLG,conditionTB,1.70E-08,4.23E-08,ENSG00000049130,12,88492793,88580851,4254
KIZ,conditionTB,0.0043,0.006691869,ENSG00000088970,20,21125983,21246622,55857
KL,conditionTB,0.0013,0.002141681,ENSG00000133116,13,33016423,33066143,9365
KLB,conditionTB,0.1,0.127018182,ENSG00000134962,4,39406930,39451533,152831
KLC1,conditionTB,1.10E-16,4.29E-16,ENSG00000126214,14,103561896,103714249,3831
KLC2,conditionTB,1.10E-15,4.10E-15,ENSG00000174996,11,66257294,66267860,64837
KLC4,conditionTB,0.0012,0.001982781,ENSG00000137171,6,43040777,43075095,89953
KLF1,conditionTB,5.40E-08,1.30E-07,ENSG00000105610,19,12884422,12887201,10661
KLF10,conditionTB,0,0,ENSG00000155090,8,102648784,102655725,7071
KLF11,conditionTB,4.90E-06,1.02E-05,ENSG00000172059,2,10042849,10054836,8462
KLF12,conditionTB,5.20E-10,1.43E-09,ENSG00000118922,13,73686089,74133929,11278
KLF13,conditionTB,0,0,ENSG00000169926,15,31326835,31435665,51621
KLF16,conditionTB,0,0,ENSG00000129911,19,1852399,1863579,83855
KLF2,conditionTB,0.62,0.664261943,ENSG00000127528,19,16324826,16328685,10365
KLF3,conditionTB,3.30E-12,1.03E-11,ENSG00000109787,4,38664197,38701517,51274
KLF4,conditionTB,0,0,ENSG00000136826,9,107484852,107490482,9314
KLF5,conditionTB,0,0,ENSG00000102554,13,73054976,73077541,688
KLF6,conditionTB,0,0,ENSG00000067082,10,3775996,3785281,1316
KLF7,conditionTB,0,0,ENSG00000118263,2,207074137,207167267,8609
KLF8,conditionTB,0.034,0.047011183,ENSG00000102349,X,56232356,56291531,11279
KLF9,conditionTB,0,0,ENSG00000119138,9,70384604,70414657,687
KLHDC1,conditionTB,0.54,0.588157156,ENSG00000197776,14,49693105,49753150,122773
KLHDC10,conditionTB,2.20E-04,3.93E-04,ENSG00000128607,7,130070534,130135705,23008
KLHDC2,conditionTB,5.20E-05,9.86E-05,ENSG00000165516,14,49768130,49786385,23588
KLHDC3,conditionTB,0,0,ENSG00000124702,6,43014103,43021298,116138
KLHDC4,conditionTB,0.6,0.645606469,ENSG00000104731,16,87696485,87765992,54758
KLHDC7B,conditionTB,0.39,0.440045223,ENSG00000130487,22,50545899,50551023,113730
KLHDC8B,conditionTB,0,0,ENSG00000185909,3,49171598,49176486,200942
KLHL11,conditionTB,0.0021,0.003385393,ENSG00000178502,17,41848518,41865423,55175
KLHL12,conditionTB,0,0,ENSG00000117153,1,202891116,202928636,59349
KLHL13,conditionTB,0.34,0.388841778,ENSG00000003096,X,117897813,118117340,90293
KLHL14,conditionTB,0.77,0.799467935,ENSG00000197705,18,32672673,32773023,57565
KLHL15,conditionTB,2.80E-06,5.92E-06,ENSG00000174010,X,23983720,24027186,80311
KLHL17,conditionTB,0.46,0.510088889,ENSG00000187961,1,960584,965719,339451
KLHL18,conditionTB,0,0,ENSG00000114648,3,47282917,47346816,23276
KLHL2,conditionTB,0.42,0.470023228,ENSG00000109466,4,165207561,165323156,11275
KLHL20,conditionTB,0.9,0.914996726,ENSG00000076321,1,173714941,173786692,27252
KLHL21,conditionTB,0,0,ENSG00000162413,1,6590724,6614607,9903
KLHL22,conditionTB,2.00E-12,6.32E-12,ENSG00000099910,22,20441519,20495844,84861
KLHL23,conditionTB,0.0098,0.014558809,ENSG00000213160,2,169694488,169776989,151230/100526832
KLHL24,conditionTB,0.001,0.001667502,ENSG00000114796,3,183635610,183684519,54800
KLHL25,conditionTB,0.0049,0.007574156,ENSG00000183655,15,85759326,85794925,64410
KLHL26,conditionTB,0.59,0.635972844,ENSG00000167487,19,18637025,18671721,55295
KLHL28,conditionTB,0,0,ENSG00000179454,14,44924324,45042322,54813
KLHL29,conditionTB,0.0072,0.010893167,ENSG00000119771,2,23385179,23708611,114818
KLHL3,conditionTB,0.0077,0.011601898,ENSG00000146021,5,137617500,137736089,26249
KLHL31,conditionTB,0.32,0.368017121,ENSG00000124743,6,53647916,53665756,401265
KLHL32,conditionTB,0.76,0.791378745,ENSG00000186231,6,96924620,97140754,114792
KLHL35,conditionTB,0.37,0.419954509,ENSG00000149243,11,75422394,75433203,283212
KLHL36,conditionTB,2.20E-04,3.93E-04,ENSG00000135686,16,84648511,84667686,79786
KLHL4,conditionTB,1.50E-04,2.72E-04,ENSG00000102271,X,87517409,87670050,56062
KLHL41,conditionTB,2.20E-12,6.93E-12,ENSG00000239474,2,169509702,169526258,10324
KLHL42,conditionTB,2.80E-06,5.92E-06,ENSG00000087448,12,27780048,27803040,57542
KLHL5,conditionTB,1.20E-12,3.83E-12,ENSG00000109790,4,39045039,39126857,51088
KLHL6,conditionTB,2.10E-07,4.84E-07,ENSG00000172578,3,183487551,183555706,89857
KLHL7,conditionTB,0.0024,0.003844182,ENSG00000122550,7,23105758,23177914,55975
KLHL8,conditionTB,0,0,ENSG00000145332,4,87160103,87240314,57563
KLHL9,conditionTB,1.20E-08,3.01E-08,ENSG00000198642,9,21329665,21335404,55958
KLK1,conditionTB,0.053,0.070808568,ENSG00000167748,19,50819146,50823787,3816
KLKB1,conditionTB,0.99,0.990354407,ENSG00000164344,4,186208979,186258471,3818
KLLN,conditionTB,0.025,0.03522945,ENSG00000227268,10,87859158,87863533,100144748
KLRB1,conditionTB,9.40E-06,1.90E-05,ENSG00000111796,12,9594551,9607916,3820
KLRC1,conditionTB,0.0028,0.004447152,ENSG00000134545,12,10442264,10454685,3821
KLRC2,conditionTB,5.60E-05,1.06E-04,ENSG00000205809,12,10426854,10442300,3822
KLRC3,conditionTB,1.50E-04,2.72E-04,ENSG00000205810,12,10412315,10420595,3823
KLRC4,conditionTB,0.055,0.07331934,ENSG00000183542,12,10407382,10409757,8302
KLRD1,conditionTB,4.90E-12,1.51E-11,ENSG00000134539,12,10226058,10329608,3824
KLRF1,conditionTB,0.051,0.06835223,ENSG00000150045,12,9827481,9845007,51348
KLRG1,conditionTB,0.86,0.880093752,ENSG00000139187,12,8950044,9010760,10219
KLRK1,conditionTB,5.60E-10,1.53E-09,ENSG00000213809,12,10372353,10391874,22914/100528032
KMO,conditionTB,0,0,ENSG00000117009,1,241532134,241595642,8564
KMT2A,conditionTB,0,0,ENSG00000118058,11,118436490,118526832,4297
KMT2B,conditionTB,0.24,0.283767454,ENSG00000272333,19,35717973,35738878,9757
KMT2C,conditionTB,1.10E-16,4.29E-16,ENSG00000055609,7,152134922,152436644,58508
KMT2D,conditionTB,0.038,0.052185571,ENSG00000167548,12,49018978,49060794,8085
KMT2E,conditionTB,0,0,ENSG00000005483,7,105014190,105115019,55904
KNDC1,conditionTB,0.28,0.326176422,ENSG00000171798,10,133160219,133226412,85442
KNOP1,conditionTB,0,0,ENSG00000103550,16,19701937,19718235,400506
KNSTRN,conditionTB,1.00E-06,2.19E-06,ENSG00000128944,15,40382721,40394246,90417
KNTC1,conditionTB,1.50E-05,2.97E-05,ENSG00000184445,12,122527246,122626396,9735
KPNA1,conditionTB,1.10E-07,2.59E-07,ENSG00000114030,3,122421902,122514945,3836
KPNA2,conditionTB,4.20E-13,1.38E-12,ENSG00000182481,17,68035636,68047364,3838
KPNA3,conditionTB,1.50E-07,3.50E-07,ENSG00000102753,13,49699320,49792682,3839
KPNA4,conditionTB,0,0,ENSG00000186432,3,160495007,160565571,3840
KPNA5,conditionTB,1.30E-12,4.14E-12,ENSG00000196911,6,116681187,116741867,3841
KPNA6,conditionTB,7.60E-04,0.001288054,ENSG00000025800,1,32108056,32176563,23633
KPNB1,conditionTB,0,0,ENSG00000108424,17,47649476,47685505,3837
KPTN,conditionTB,0.017,0.024502166,ENSG00000118162,19,47475150,47484265,11133
KRAS,conditionTB,2.10E-04,3.76E-04,ENSG00000133703,12,25205246,25250936,3845
KRBA1,conditionTB,8.80E-10,2.39E-09,ENSG00000133619,7,149714781,149734575,84626
KRBA2,conditionTB,9.70E-09,2.46E-08,ENSG00000184619,17,8356902,8376704,124751
KRBOX4,conditionTB,0.93,0.939005637,ENSG00000147121,X,46447292,46497422,55634
KRCC1,conditionTB,0.49,0.539799732,ENSG00000172086,2,88027205,88064252,51315
KREMEN1,conditionTB,0,0,ENSG00000183762,22,29073035,29168333,83999
KREMEN2,conditionTB,0.0064,0.0097589,ENSG00000131650,16,2964216,2968383,79412
KRI1,conditionTB,7.90E-09,2.01E-08,ENSG00000129347,19,10553085,10566031,65095
KRIT1,conditionTB,1.90E-07,4.40E-07,ENSG00000001631,7,92198969,92246166,889
KRR1,conditionTB,0,0,ENSG00000111615,12,75490863,75511636,11103
KRT1,conditionTB,0.036,0.049619414,ENSG00000167768,12,52674736,52680407,3848
KRT10,conditionTB,0.3,0.347245464,ENSG00000186395,17,40818117,40822614,3858
KRT15,conditionTB,0.13,0.162073704,ENSG00000171346,17,41513745,41522529,3866
KRT18,conditionTB,0.013,0.019033428,ENSG00000111057,12,52948871,52952906,3875
KRT5,conditionTB,1.10E-10,3.14E-10,ENSG00000186081,12,52514575,52520530,3852
KRT7,conditionTB,0,0,ENSG00000135480,12,52232520,52252186,3855
KRT72,conditionTB,0.16,0.19639111,ENSG00000170486,12,52585589,52601538,140807
KRT73,conditionTB,0.24,0.283767454,ENSG00000186049,12,52607570,52618559,319101
KRT8,conditionTB,0.0047,0.007281118,ENSG00000170421,12,52897187,52949954,3856
KRTAP5-1,conditionTB,0.29,0.336590796,ENSG00000205869,11,1584342,1585283,387264
KRTCAP2,conditionTB,2.00E-04,3.59E-04,ENSG00000163463,1,155169408,155173475,200185
KRTCAP3,conditionTB,0.0084,0.012598197,ENSG00000157992,2,27442366,27446481,200634
KSR1,conditionTB,1.10E-05,2.21E-05,ENSG00000141068,17,27456470,27626438,8844
KTI12,conditionTB,0.11,0.138761286,ENSG00000198841,1,52032103,52033810,112970
KTN1,conditionTB,0,0,ENSG00000126777,14,55559072,55701526,3895
KXD1,conditionTB,0.017,0.024502166,ENSG00000105700,19,18557762,18569387,79036
KY,conditionTB,1.90E-05,3.73E-05,ENSG00000174611,3,134599923,134651636,339855
KYNU,conditionTB,0,0,ENSG00000115919,2,142877657,143055833,8942
L1CAM,conditionTB,0.94,0.947459241,ENSG00000198910,X,153861514,153886173,3897
L1TD1,conditionTB,0.61,0.655054954,ENSG00000240563,1,62194849,62212328,54596
L2HGDH,conditionTB,8.80E-11,2.53E-10,ENSG00000087299,14,50237563,50312229,79944
L3HYPDH,conditionTB,0.28,0.326176422,ENSG00000126790,14,59460363,59484408,112849
L3MBTL1,conditionTB,0.55,0.597744244,ENSG00000185513,20,43489442,43550954,26013
L3MBTL2,conditionTB,0,0,ENSG00000100395,22,41205282,41231271,83746
L3MBTL3,conditionTB,0.52,0.569570398,ENSG00000198945,6,130013699,130141449,84456
L3MBTL4,conditionTB,1.90E-04,3.41E-04,ENSG00000154655,18,5954706,6415237,91133
LACC1,conditionTB,0,0,ENSG00000179630,13,43879284,43893932,144811
LACE1,conditionTB,1.10E-05,2.21E-05,ENSG00000135537,6,108294991,108526796,246269
LACTB,conditionTB,0,0,ENSG00000103642,15,63121833,63142061,114294
LACTB2,conditionTB,0,0,ENSG00000147592,8,70635318,70669185,51110
LAD1,conditionTB,0,0,ENSG00000159166,1,201380833,201399915,3898
LAG3,conditionTB,8.10E-14,2.76E-13,ENSG00000089692,12,6772512,6778455,3902
LAGE3,conditionTB,0.022,0.031209666,ENSG00000196976,X,154477769,154479257,8270
LAIR1,conditionTB,1.30E-11,3.91E-11,ENSG00000167613,19,54351384,54370558,3903
LAIR2,conditionTB,0.001,0.001667502,ENSG00000167618,19,54497879,54510687,3904
LAMA1,conditionTB,0.56,0.607666977,ENSG00000101680,18,6941742,7117797,284217
LAMA2,conditionTB,0.28,0.326176422,ENSG00000196569,6,128883138,129516566,3908
LAMA3,conditionTB,0.0047,0.007281118,ENSG00000053747,18,23689453,23956222,3909
LAMA5,conditionTB,1.80E-07,4.17E-07,ENSG00000130702,20,62307955,62367312,3911
LAMB1,conditionTB,0,0,ENSG00000091136,7,107923799,108003213,3912
LAMB2,conditionTB,0,0,ENSG00000172037,3,49121114,49133118,3913
LAMB3,conditionTB,0,0,ENSG00000196878,1,209614870,209652425,3914
LAMC1,conditionTB,1.80E-08,4.47E-08,ENSG00000135862,1,183023420,183145592,3915
LAMC2,conditionTB,0.0026,0.004148835,ENSG00000058085,1,183186238,183245127,3918
LAMP1,conditionTB,2.90E-05,5.60E-05,ENSG00000185896,13,113297239,113323672,3916
LAMP2,conditionTB,0.28,0.326176422,ENSG00000005893,X,120426148,120469365,3920
LAMP3,conditionTB,0,0,ENSG00000078081,3,183122215,183163839,27074
LAMP5,conditionTB,0.041,0.055915276,ENSG00000125869,20,9514358,9530524,24141
LAMTOR1,conditionTB,0,0,ENSG00000149357,11,72085895,72103297,55004
LAMTOR2,conditionTB,0,0,ENSG00000116586,1,156054782,156058506,28956
LAMTOR3,conditionTB,5.30E-05,1.00E-04,ENSG00000109270,4,99878336,99894428,8649
LAMTOR4,conditionTB,0,0,ENSG00000188186,7,100148907,100155944,389541
LAMTOR5,conditionTB,0.63,0.673478194,ENSG00000134248,1,110401249,110407942,10542
LANCL1,conditionTB,0.24,0.283767454,ENSG00000115365,2,210431249,210477652,10314
LANCL2,conditionTB,2.10E-05,4.10E-05,ENSG00000132434,7,55365337,55433737,55915
LANCL3,conditionTB,0.032,0.044373164,ENSG00000147036,X,37571569,37684463,347404
LAP3,conditionTB,7.00E-07,1.55E-06,ENSG00000002549,4,17577198,17607972,51056
LAPTM4A,conditionTB,2.00E-10,5.61E-10,ENSG00000068697,2,20032650,20051628,9741
LAPTM4B,conditionTB,1.80E-05,3.54E-05,ENSG00000104341,8,97775057,97853013,55353
LAPTM5,conditionTB,0,0,ENSG00000162511,1,30732469,30757774,7805
LARGE,conditionTB,0.017,0.024502166,ENSG00000133424,22,33162226,33922841,9215
LARP1,conditionTB,1.70E-13,5.69E-13,ENSG00000155506,5,154712843,154817605,23367
LARP1B,conditionTB,8.40E-14,2.86E-13,ENSG00000138709,4,128061286,128222931,55132
LARP4,conditionTB,0,0,ENSG00000161813,12,50392383,50480004,113251
LARP4B,conditionTB,0.0016,0.002612504,ENSG00000107929,10,806914,931705,23185
LARP7,conditionTB,0.64,0.682757883,ENSG00000174720,4,112637107,112657592,51574
LARS,conditionTB,0.62,0.664261943,ENSG00000133706,5,146110566,146182696,51520
LARS2,conditionTB,2.00E-04,3.59E-04,ENSG00000011376,3,45388561,45554726,23395
LAS1L,conditionTB,3.70E-07,8.38E-07,ENSG00000001497,X,65438549,65534810,81887
LASP1,conditionTB,0,0,ENSG00000002834,17,38869859,38921770,3927
LAT,conditionTB,0,0,ENSG00000213658,16,28984826,28990784,27040
LAT2,conditionTB,0,0,ENSG00000086730,7,74199652,74229834,7462
LATS1,conditionTB,0.49,0.539799732,ENSG00000131023,6,149658153,149718105,9113
LATS2,conditionTB,0,0,ENSG00000150457,13,20973036,21061586,26524
LAX1,conditionTB,0,0,ENSG00000122188,1,203765177,203776372,54900
LAYN,conditionTB,2.40E-10,6.71E-10,ENSG00000204381,11,111540280,111561745,143903
LBH,conditionTB,5.30E-15,1.92E-14,ENSG00000213626,2,30231534,30323730,81606
LBHD1,conditionTB,0.0015,0.002455248,ENSG00000162194,11,62662817,62672255,79081
LBR,conditionTB,3.50E-11,1.03E-10,ENSG00000143815,1,225401502,225428925,3930
LBX2,conditionTB,0.47,0.519857505,ENSG00000179528,2,74497517,74503316,85474
LCA5,conditionTB,0.64,0.682757883,ENSG00000135338,6,79484991,79537458,167691
LCA5L,conditionTB,0.037,0.050917364,ENSG00000157578,21,39405728,39445805,150082
LCAT,conditionTB,0.17,0.207408313,ENSG00000213398,16,67939750,67944131,3931
LCK,conditionTB,5.80E-04,9.94E-04,ENSG00000182866,1,32251239,32286165,3932
LCLAT1,conditionTB,3.10E-12,9.68E-12,ENSG00000172954,2,30447226,30644225,253558
LCMT1,conditionTB,0.72,0.756948081,ENSG00000205629,16,25111731,25178231,51451
LCMT2,conditionTB,0.52,0.569570398,ENSG00000168806,15,43323649,43330582,9836
LCN10,conditionTB,0.37,0.419954509,ENSG00000187922,9,136738167,136743356,414332
LCOR,conditionTB,0,0,ENSG00000196233,10,96832254,96995956,84458
LCORL,conditionTB,4.70E-06,9.77E-06,ENSG00000178177,4,17841199,18021876,254251
LCP1,conditionTB,0.0085,0.01273997,ENSG00000136167,13,46125920,46211871,3936
LCP2,conditionTB,0,0,ENSG00000043462,5,170246233,170297815,3937
LCT,conditionTB,0.3,0.347245464,ENSG00000115850,2,135787850,135837184,3938
LCTL,conditionTB,0.039,0.053406645,ENSG00000188501,15,66547179,66565979,197021
LDAH,conditionTB,3.30E-15,1.21E-14,ENSG00000118961,2,20684014,20823130,60526
LDB1,conditionTB,0,0,ENSG00000198728,10,102106489,102120368,8861
LDHA,conditionTB,1.30E-06,2.82E-06,ENSG00000134333,11,18394560,18408425,3939
LDHAL6A,conditionTB,0.85,0.871264031,ENSG00000166800,11,18455824,18479601,160287
LDHAL6B,conditionTB,2.10E-06,4.50E-06,ENSG00000171989,15,59206843,59208588,92483
LDHB,conditionTB,0.024,0.033895482,ENSG00000111716,12,21635342,21757857,3945
LDHD,conditionTB,8.70E-06,1.77E-05,ENSG00000166816,16,75111860,75116780,197257
LDLR,conditionTB,0,0,ENSG00000130164,19,11089462,11133820,3949
LDLRAD3,conditionTB,0.0037,0.005800112,ENSG00000179241,11,35943981,36232136,143458
LDLRAD4,conditionTB,3.20E-04,5.62E-04,ENSG00000168675,18,13217498,13652755,753
LDLRAP1,conditionTB,3.30E-15,1.21E-14,ENSG00000157978,1,25543606,25568886,26119
LDOC1,conditionTB,0.19,0.229385639,ENSG00000182195,X,141111605,141177129,23641
LDOC1L,conditionTB,3.40E-05,6.54E-05,ENSG00000188636,22,44492583,44498233,84247
LEAP2,conditionTB,0.19,0.229385639,ENSG00000164406,5,132873444,132875046,116842
LEF1,conditionTB,7.30E-13,2.36E-12,ENSG00000138795,4,108047545,108168956,51176
LEKR1,conditionTB,1.70E-04,3.07E-04,ENSG00000197980,3,156825481,157046129,389170
LEMD2,conditionTB,0.008,0.012035749,ENSG00000161904,6,33771202,33789130,221496
LEMD3,conditionTB,0,0,ENSG00000174106,12,65169583,65248355,23592
LENG1,conditionTB,0.91,0.92281318,ENSG00000105617,19,54155161,54159721,79165
LENG8,conditionTB,0.01,0.014813401,ENSG00000167615,19,54448887,54462016,114823
LENG9,conditionTB,0.85,0.871264031,ENSG00000275183,19,54461732,54463778,94059
LEO1,conditionTB,1.20E-08,3.01E-08,ENSG00000166477,15,51938025,51971778,123169
LEP,conditionTB,0.23,0.273122557,ENSG00000174697,7,128241278,128257629,3952
LEPR,conditionTB,0.028,0.0391216,ENSG00000116678,1,65420652,65641559,3953
LEPROT,conditionTB,0.4,0.450201386,ENSG00000213625,1,65420587,65436007,54741
LEPROTL1,conditionTB,4.50E-11,1.31E-10,ENSG00000104660,8,30095408,30177208,23484
LETM1,conditionTB,2.00E-06,4.29E-06,ENSG00000168924,4,1811479,1856156,3954
LETM2,conditionTB,3.20E-04,5.62E-04,ENSG00000165046,8,38386207,38409527,137994
LETMD1,conditionTB,0.25,0.294519393,ENSG00000050426,12,51047962,51060424,25875
LEXM,conditionTB,0.63,0.673478194,ENSG00000162398,1,54806063,54842252,163747
LFNG,conditionTB,0,0,ENSG00000106003,7,2512529,2529177,3955
LGALS1,conditionTB,0.88,0.897471533,ENSG00000100097,22,37675636,37679802,3956
LGALS2,conditionTB,0,0,ENSG00000100079,22,37570248,37582616,3957
LGALS3,conditionTB,0.15,0.184765935,ENSG00000131981,14,55124110,55145423,3958
LGALS3BP,conditionTB,0.54,0.588157156,ENSG00000108679,17,78971238,78979947,3959
LGALS4,conditionTB,0.78,0.808528823,ENSG00000171747,19,38801671,38812945,3960
LGALS8,conditionTB,2.70E-11,7.97E-11,ENSG00000116977,1,236518000,236552981,3964
LGALS9,conditionTB,2.30E-12,7.23E-12,ENSG00000168961,17,27629798,27649560,3965
LGALS9C,conditionTB,0.025,0.03522945,ENSG00000171916,17,18476737,18494945,654346
LGALSL,conditionTB,1.30E-10,3.69E-10,ENSG00000119862,2,64453969,64461381,29094
LGI2,conditionTB,4.00E-13,1.32E-12,ENSG00000153012,4,24998847,25030946,55203
LGMN,conditionTB,0,0,ENSG00000100600,14,92703807,92748679,5641
LGR4,conditionTB,5.90E-08,1.42E-07,ENSG00000205213,11,27365961,27472790,55366
LGR6,conditionTB,0.0015,0.002455248,ENSG00000133067,1,202193799,202319781,59352
LHFP,conditionTB,0,0,ENSG00000183722,13,39209116,39603528,10186
LHFPL2,conditionTB,3.70E-13,1.22E-12,ENSG00000145685,5,78485215,78770021,10184
LHFPL4,conditionTB,0.097,0.123906016,ENSG00000187416,3,9498361,9553822,375323
LHPP,conditionTB,3.50E-04,6.12E-04,ENSG00000107902,10,124461823,124617888,64077
LHX4,conditionTB,4.70E-04,8.13E-04,ENSG00000121454,1,180230264,180278984,89884
LIAS,conditionTB,2.70E-07,6.18E-07,ENSG00000121897,4,39459004,39485109,11019
LIF,conditionTB,0,0,ENSG00000128342,22,30240453,30246759,3976
LIFR,conditionTB,3.30E-08,8.05E-08,ENSG00000113594,5,38474668,38608354,3977
LIG1,conditionTB,0.0041,0.006394865,ENSG00000105486,19,48115445,48170603,3978
LIG3,conditionTB,0.0041,0.006394865,ENSG00000005156,17,34980512,35009743,3980
LIG4,conditionTB,0,0,ENSG00000174405,13,108207439,108218368,3981
LILRA1,conditionTB,1.70E-04,3.07E-04,ENSG00000104974,19,54593582,54602381,11024
LILRA2,conditionTB,0,0,ENSG00000239998,19,54572920,54590287,11027
LILRA3,conditionTB,0.19,0.229385639,NA,19,270964,275379,
LILRA4,conditionTB,0.052,0.069592337,ENSG00000239961,19,54333185,54339162,23547
LILRA5,conditionTB,0.91,0.92281318,ENSG00000187116,19,54307070,54313166,353514
LILRA6,conditionTB,5.60E-04,9.61E-04,ENSG00000244482,19,54236592,54242791,79168
LILRB1,conditionTB,6.50E-04,0.001108889,ENSG00000104972,19,54617158,54638022,10859
LILRB2,conditionTB,0.46,0.510088889,ENSG00000131042,19,54273812,54281184,10288
LILRB3,conditionTB,3.20E-04,5.62E-04,ENSG00000204577,19,54216278,54223506,11025/102725035/107987425/107987462
LILRB4,conditionTB,2.70E-11,7.97E-11,ENSG00000186818,19,54643889,54670359,11006
LILRB5,conditionTB,0,0,ENSG00000105609,19,54249421,54257301,10990
LIMA1,conditionTB,1.30E-08,3.26E-08,ENSG00000050405,12,50175788,50283546,51474
LIMCH1,conditionTB,0.81,0.835349867,ENSG00000064042,4,41359607,41700044,22998
LIMD1,conditionTB,0,0,ENSG00000144791,3,45555394,45686341,8994
LIMD2,conditionTB,0.086,0.111022083,ENSG00000136490,17,63695888,63701172,80774
LIME1,conditionTB,0.43,0.479907341,ENSG00000203896,20,63736283,63739103,54923
LIMK1,conditionTB,0.0076,0.011464824,ENSG00000106683,7,74082933,74122525,3984
LIMK2,conditionTB,0,0,ENSG00000182541,22,31212239,31280080,3985
LIMS1,conditionTB,0.74,0.774303902,ENSG00000169756,2,108534355,108687246,3987
LIMS2,conditionTB,0.076,0.098870764,ENSG00000072163,2,127638381,127681786,55679
LIMS3,conditionTB,0.18,0.218540146,ENSG00000256977,2,109898428,109924868,96626
LIMS3L,conditionTB,0.022,0.031209666,ENSG00000256671,2,110446640,110473075,100288695
